,Муниципалитет,округ,ФИО,,
,Княжево,2,Констанденкова Кристина Михайловна,,
,Княжево,2,Дмитриев Лев Михайлович,,
,Княжево,3,Сударушкин Евгений Валентинович,,
,Княжево,3,Тихонов Вячеслав Алексеевич,,
,Княжево,4,Буравченко Дмитрий Павлович,СР,
,Княжево,4,Кузык Роман Николаевич,СР,
,Княжево,4,Петровец Кирилл Сергеевич,СР,
,Княжево,4,Гринбергас Владимир Викторович,,
,Княжево,4,Сергеев Михаил Владимирович,,
,Коломна,1,Дубровский Николай Андреевич,,
,Коломна,1,Негодина Галина Владимировна,,
,Коломна,1,Попов Петр Михайлович,,
,Коломна,1,Качабеков Расим Гаджи-Кадирович,,
,Коломна,1,Панкратьев Юрий Викторович,,
,Коломна,2,Аржаев Александр Александрович,,
,Коломна,2,Шишова Екатерина Сергеевна,,
,Коломна,2,Зворыгин Сергей Борисович,,
,Коломна,2,Нестеров Евгений Юрьевич,,
,Коломна,2,Тищенко Марина Владимировна,,
,Коломяги,207,Барабанов Александр Николаевич,,
,Коломяги,207,Бознякова Екатерина Викторовна,,
,Коломяги,207,Дашков Евгений Юрьевич,,
,Коломяги,207,Смирнова Виктория Евгеньевна,,
,Коломяги,207,Шарапова Татьяна Юрьевна,,
,Коломяги,208,Гурко Глеб Игоревич,,
,Коломяги,208,Липкина Татьяна Эдуардовна,,
,Коломяги,208,Кацуба Дмитрий Федорович,,
,Коломяги,208,Прохоренко Евгений Алексеевич,,
,Коломяги,208,Савостьянов Никита Игоревич,,
,Колпино,1,Германович Егор Андреевич,,
,Колпино,1,Коковина Надежда Михайловна,,
,Колпино,1,Кабардинцев Алексей Андреевич,,
,Колпино,1,Ревягин Сергей Вячеславович,,
,Колпино,2,Иванова Оксана Игоревна,,
,Колпино,2,Бестаев Иван Герсанович,,
,Колпино,2,Лазарев Виктор Валентинович,,
,Колпино,2,Зуев Константин Александрович,,
,Колпино,3,Волга Роман Александрович,ГП,
,Колпино,3,Митрофанова Елена Андреевна,ГП,
,Колпино,3,Старцев Константин Владимирович,ГП,
,Колпино,3,Николаев Сергей Иванович,СР,
,Колпино,3,Балин Владимир Анатольевич,СР,
,Колпино,4,Краснов Валерий Петрович,,
,Колпино,4,Маделан Геннадий Георгиевич,,
,Колпино,4,Ковалев Денис Ильич,,
,Колпино,4,Захаров Андрей Борисович,Я,
,Колпино,5,Вострикова Наталия Сергеевна,,
,Колпино,5,Ефимова Елена Николаевна,,
,Колпино,5,Даморатская Марина Алексеевна,,
Бируля Валентина Алексеевна,Колпино,5,Безверхий Владимир Анатольевич,,
,Комарово,1,Лукьянов Антон Александрович,,
,Комарово,1,Боярская Екатерина Николаевна,,
,Комендантский аэродром,200,Данильченко Денис Михайлович,,
,Комендантский аэродром,200,Радченко Вера Дмитриевна,,
Бируля Валентина Алексеевна,Комендантский аэродром,200,Скакун Юрий Петрович,Я,
Бируля Валентина Алексеевна,Комендантский аэродром,198,Павлов Борис Иванович,,
,Комендантский аэродром,198,Рябов Антон Владимирович,,
,Комендантский аэродром,198,Сапсалёв Иван Анатольевич,,
,Комендантский аэродром,199,Малявко Юрий Маркович,,
,Комендантский аэродром,199,Тарасов Сергей Евгеньевич,,
,Комендантский аэродром,199,Бируля Валентина Алексеевна,,
,Константиновское,2,Кокорева Жанна Сергеевна,,
Бируля Валентина Алексеевна,Константиновское,2,Чистякова Мария Сергеевна,,
,Константиновское,2,Матишинец Евгений Валерьевич,,
,Константиновское,2,Синдерев Александр Петрович,,
,Константиновское,2,Гаврилов Сергей Валерьевич,,
,Константиновское,1,Падун Антон Андреевич,,
,Константиновское,1,Барановский Евгений Петрович,,
,Константиновское,1,Левашова Ольга Борисовна,,
,Красненькая речка,1,Дмитриев Лев Михайлович,,
,Красненькая речка,1,Констанденкова Кристина Михайловна,,
,Красненькая речка,1,Ермаченков Андрей Сергеевич,,
,Красненькая речка,1,Смирнова Анна Сергеевна,,
,Красненькая речка,1,Петровский Филипп Владиславович,,
,Красненькая речка,2,Громов Константин Валентинович,Я,
,Красненькая речка,2,Стародынов Евгений Стефанович,Я,
,Красненькая речка,2,Кострикин Александр Вадимович,,
,Красненькая речка,2,Цольфранк-Меньшикова Мария Алексеевна,,
,Красненькая речка,2,Смирнов Михаил Дмитриевич,,
,Красное Cело,1,Мишин Александр Александрович,Я,
,Красное Cело,1,Бондарев Виктор Гаврилович,,
,Красное Cело,1,Вильховченко Андрей Николаевич,,
,Красное Cело,1,Сезоненко Инна Искандаровна,,
,Красное Cело,1,Степанова Галина Владимировна,,
,Красное Cело,2,Смирнов Виктор Русланович,,
,Красное Cело,2,Толмачев Владимир Алексеевич,,
,Красное Cело,2,Ахрименко Людмила Викторовна,,
,Красное Cело,2,Гордиенко Сергей Феодосиевич,,
,Красное Cело,2,Лебиков Игорь Александрович,,
,Кронверкское,181,Каменев Георгий Владимирович,,
,Кронштадт,1,Афонин Алексей Валерьевич,Я,
,Кронштадт,1,Климантовская Валентина Анатольевна,,
,Кронштадт,1,Сычев Сергей Георгиевич,,
,Кронштадт,1,Сячин Сергей Николаевич,,
,Кронштадт,1,Кобко Юрий Антонович,,
,Кронштадт,2,Гринина Юлия Кирилловна,,
,Кронштадт,2,Астраханцев Станислав Германович,,
,Кронштадт,2,Белаш Антон Юрьевич,,
,Кронштадт,2,Молоковский Дмитрий Сергеевич,,
,Кронштадт,2,Никуленков Денис Анатольевич,,
,Купчино,216,Магунова Виктория Вячеславовна,,
,Купчино,216,Морозов Александр Евгеньевич,,
,Купчино,216,Свобода Марина Леонидовна,,
,Купчино,216,Дмитриев Александр Александрович,,
,Купчино,216,Агафонов Леонид Викторович,,
,Купчино,217,Краваль Людмила Олеговна,Я,
,Купчино,217,Харитонов Дмитрий Валерьевич,,
,Купчино,217,Устинович Антон Вячеславович,,
,Купчино,217,Афиногенов Арсений Антонович,,
,Купчино,217,Чистякова Софья Левановна,Я,
,Купчино,218,Швец Павел Евгеньевич,Я,
,Купчино,218,Павлов Егор Антонович,,
,Купчино,218,Лебедев Владимир Павлович,,
,Купчино,218,Алиферчук Александр Сергеевич,,
,Купчино,218,Мельникова Инна Васильевна,,
,Купчино,219,Веселова Мария Игоревна,,
,Купчино,219,Георгиевский Игорь Владиславович,,
,Купчино,219,Коготков Сергей Сергеевич,,
,Купчино,219,Недбайлов Дмитрий Валерьевич,,
,Купчино,219,Яковлев Денис Михайлович,,
,Лахта Ольгино,641,Сальков Владимир Анатольевич,,
,Лахта Ольгино,641,Румянцев Денис Александрович,,
,Лахта Ольгино,641,Матвеев Сергей Сергеевич,,
,Лахта Ольгино,641,Костылев Сергей Александрович,,
,Лахта Ольгино,641,Жак Игорь Григорьевич,,
,Лахта Ольгино,642,Чайка Михаил Алексеевич,,
,Лахта Ольгино,642,Сауц Артур Валерьевич,,
,Лахта Ольгино,642,Иванов Виктор Павлович,,
,Лахта Ольгино,642,Решетникова Елена Геннадьевна,,
,Лахта Ольгино,642,Козырева Галина Дмитриевна,,
,Левашово,1,Архарова Наталья Геннадьевна,,
,Левашово,1,Биченков Андрей Васильевич,,
,Левашово,1,Скиба Ольга Аввакумовна,,
,Левашово,1,Тюрин Дмитрий Борисович,,
,Левашово,1,Гуйдов Валерий Юрьевич,,
,Левашово,1,Терезанов Андрей Михайлович,,
,Левашово,1,Ромашко Андрей Алексеевич,,
,Лиговка-Ямская,242,Зворыгин Сергей Борисович,,
,Лиговка-Ямская,242,Качабеков Расим Гаджи-Кадирович,,
,Лиговка-Ямская,242,Панкратьев Юрий Викторович,,
,Лиговка-Ямская,242,Тищенко Марина Владимировна,,
,Лиговка-Ямская,242,Криган Степан Дмитриевич,,
,Лиговка-Ямская,243,Никитин Денис Геннадьевич,,
,Лиговка-Ямская,243,Поляков Константин Юрьевич,,
,Лисий нос,4,Смирнова Ольга Александровна,,
,Лисий нос,4,Маркелов Александр Александрович,,
,Лисий нос,4,Грудников Вадим Маркович,,
,Лисий нос,4,Куделин Станислав Николаевич,,
,Лисий нос,4,Федоров Николай Николаевич,,
